timestamp (us),gx (d/s),gy (d/s),gz (d/s)
9249183,0,-0.12,0.06
9255268,0.12,-0.18,0.06
9263273,0.24,0.06,0
9269314,0.18,0.06,-0.06
9275401,0.24,0,-0.06
9281449,0.24,-0.12,0
9287501,0.18,-0.18,0.06
9293560,0.06,-0.12,0.18
9300603,0.12,0,0.18
9306670,0.12,0.12,0.12
9312738,0.18,0.24,0
9319426,0.06,0.12,-0.18
9325524,0.06,0,-0.18
9331597,0.06,0,-0.18
9338664,0,0.12,-0.06
9344786,0.06,0.18,-0.06
9350913,0.12,0.24,-0.06
9357039,0.12,0.18,0.06
9363138,-0.06,0,0.12
9369240,0,-0.12,0.06
9377367,0.12,-0.12,0.06
9383460,0.24,0.12,0.12
9389564,0.18,0.18,0.12
9395674,0.18,0.31,0.12
9401788,0.12,0.31,0.06
9407904,0.12,0.24,0
9415034,0.12,0.06,-0.06
9421161,0.18,0.06,0
9427292,0.31,0.06,0
9434001,0.06,-0.12,0
9440161,0,-0.06,-0.06
9446298,0,0.06,-0.06
9453504,0,0.18,-0.18
9459321,0,0.12,-0.12
9465141,0.06,0.12,-0.06
9470972,0,0.06,0
9476800,0,0.06,0
9482624,0,0.06,0
9496353,0.12,0.31,0
9502697,0.18,0.37,0.12
9508512,0.06,0.18,0.12
9514325,0,0.06,0.06
9520146,0,0,0
9525966,0,-0.06,0.06
9533249,0.06,-0.12,0.06
9539080,0.12,-0.06,0.06
9544914,0.18,0.06,0
9551734,0.18,0.06,0.06
9557561,0.18,0.06,0.12
9563405,0.31,-0.18,0.92
9570706,0.12,-0.24,0.92
9576553,-0.12,-0.12,-0.73
9582405,-0.37,0.06,-1.95
9588261,0.37,0.06,0.61
9594122,0.61,-0.06,0.79
9599987,0.55,0,0.49
9608312,-0.37,-0.31,0.49
9614173,-1.04,-0.31,-2.26
9620046,-1.22,-0.06,-3.66
9633905,1.46,-0.24,3.66
9639799,0.55,0.06,0.92
9646564,-0.73,0.12,-2.08
9652458,-1.34,0.06,-2.32
9659347,-0.06,-0.06,0.43
9665239,0.85,0.06,0.37
9671149,1.53,0.24,0.55
9677059,1.65,0.18,0.98
9683854,0.49,0.12,-0.31
9689767,0.12,0.18,-0.55
9695682,0.06,0.06,-0.12
9701600,0.12,0.18,0.12
9707520,0.18,0.12,-0.06
9714019,0.31,-0.06,-0.49
9720814,0.49,-0.06,-0.24
9726740,0.79,0.06,-0.18
9732651,0.73,0.12,-0.37
9738567,0.24,0.18,-0.12
9744478,0,0.06,0.06
9750390,-0.06,0,0
9757212,-0.12,-0.12,-0.12
9763147,-0.12,-0.18,-0.06
9769651,-0.06,-0.18,0
9775560,0.06,-0.06,-0.06
9781493,0.12,0.06,-0.12
9787425,0.24,0.12,0
9794251,0.18,-0.06,0.24
9800198,0,-0.18,0.06
9806140,-0.12,-0.31,-0.12
9812092,-0.12,-0.31,-0.06
9818040,0.12,0.12,0.24
9824567,0.24,0.31,0.06
9831439,0.31,0.43,-0.18
9837396,0.24,0.37,-0.18
9843356,-0.06,0.06,0.12
9849323,-0.12,0,0.12
9855295,-0.12,-0.06,-0.06
9861262,-0.06,-0.06,-0.06
9868149,0.24,0.06,0.06
9874154,0.31,0.12,0.12
9880717,0.31,0.18,0.06
9886714,0.24,0.12,0
9892724,0.18,0.12,-0.06
9898739,0.12,0.24,0.12
9905699,0.18,0.24,0.18
9911722,0.12,0.06,0.12
9917746,0.12,-0.24,0
9923773,0.12,-0.49,-0.06
9929800,0.24,-0.37,-0.12
9936417,0.24,-0.18,-0.12
9943396,0.06,0.06,-0.06
9949432,0,0.12,0.12
9955467,0.12,0.18,0.12
9961509,0.18,0.24,0.18
9967557,0.24,0.31,0.12
9973603,0.24,0.12,0
9980617,0.06,-0.12,0.06
9987664,-0.06,-0.43,0
9993711,0.18,-0.55,-0.12
9999781,0.18,-0.37,-0.12
10005857,0.12,-0.12,-0.12
10012903,0.06,0.37,0.06
10018978,-0.06,0.31,0.12
10025064,-0.12,0.06,0.06
10031151,-0.18,-0.12,0.06
10037237,0.06,-0.24,0
10043916,0.49,-0.43,-0.12
10050984,0.61,-0.37,-0.18
10057085,0.49,-0.18,-0.24
10062962,0.18,0.12,-0.06
10068844,-0.06,0.24,0.06
10074724,-0.18,0.37,0.12
10080604,-0.24,0.43,0.18
10087982,-0.12,0.06,0.06
10093881,0.12,-0.06,0
10100758,0.31,-0.12,-0.12
10106646,0.43,-0.18,-0.18
10112553,0.49,-0.12,-0.18
10118463,0.37,0.31,-0.06
10125870,0.18,0.49,-0.06
10131686,0.06,0.61,0.06
10137864,-0.12,0.24,0.18
10144044,-0.24,0,0.12
10150232,-0.31,-0.18,0
10157050,-0.24,-0.24,-0.06
10164272,0.06,-0.12,0
10170108,0.24,0,0.06
10176307,0.43,0.06,0
